title,abstract,field,reference_topic_label
AI-based long-term health risk evaluation for driving behaviour change strategies in children and youth,"Non-communicable diseases (NCDs) are the leading cause of death and healthcare expense. Common risk factors for many of them are obesity and low physical fitness resulting from an unhealthy lifestyle. Targeting children and youth for lifestyle interventions has been suggested because (1) early precursors of most NCDs are already present at this age, (2) childhood and adolescence are critical periods for the acquisition of healthy lifestyle habits, and (3) unhealthy lifestyle in this age group is prevalent.We propose to develop long-term risk-prediction models for cardiovascular and metabolic disease for people aged 5–19.",obesity,"Digital, Social, and Policy Innovations in Health"
Retinal Mesh Optoelectronics,"Visual sense is vital for all of us. Blindness has severe negative psychological, social, and economical consequences, and degeneration of photoreceptors is a leading cause of it. Photovoltaic retina implants are the current electronic solution to restore vision loss due to photoreceptor degeneration. Since the state-of-the-art implants are based on photodiodes, which face challenges in terms of miniaturization, efficiency, and compatibility with mechanical and structural properties of the retina, artificial vision still falls short to overcome the legal blindness level.",optoelectronics,Retinal and Ocular Disease Mechanisms and Therapies
Multivariate optoacoustic sensor for longitudinal diabetes monitoring,"MOSAIC will radically miniaturize non-invasive optoacoustic technology and make it portable by coupling optoacoustic sensing to novel explainable artificial Intelligence (xAI) to monitor a major health threat in the 21st century: Diabetes Mellitus. MOSAIC is based on recent advances on optoelectronic miniaturization and uses the skin as a window to dermal microvasculature and resolves a large number of biomarkers associated with diabetes. The technology is offered as a fast sensor that is inexpensive and reliable, entirely non-invasive and portable and supported by elaborate quality control monitoring so that it can be employed for long-term patient monitoring.",diabetes,Diabetes Monitoring and Hormonal Regulation Methods
Effect of insulin and feed/fast cycle on vaccine efficacy and safety.,"Though it has long been known that activated lymphoid cells upregulate insulin receptors, the functional relevance of insulin signalling in immune cells has only recently begun to be explored. This includes the recent finding that insulin-stimulated activation in the PI3K/Akt/mTOR promotes immunometabolic reprogramming of T cells, thereby promoting antigen-specific immunity. Similarly, in liver cells, insulin receptors have been shown to translocate to the nucleus where they participate in regulating genes involved in viral response and epitope presentation.",proteomics,Diabetes Monitoring and Hormonal Regulation Methods
"Safeguarding African Foodsheds and Ecosystems for all Actors across Local, regional and international Levels to manage migration","Agriculture is the foundation of the livelihoods of billions of people worldwide, including African rural and urban households, farming communities, and cities. However, weather and climate risks have increased, creating a need for better access to climate and weather information, soil water management, insurance, and other climate-agricultural services. Although some services exist, they are often separated and follow a top-down information provision that operates on a national scale. SAFE4ALL aims to address the interconnected issues of climate change, food security, ecosystem and disaster management, and migration in Africa by providing user-centred climate services.",nutrition,Sustainable Food Systems and Nutritional Innovations
A non-inferiority randomized trial testing an advice of modeA non-inferiority randomized trial testing an advice of moderate drinking pattern versus advice on abstention on major disease and mortality,"Europeans are the largest alcohol consumers. Policymakers and clinicians are currently perplexed on how to reduce alcohol harms in drinkers, due to contradictory guidelines: abstention is proposed as the healthiest option by many health advocates, stating that “there is no safe level of alcohol intake”; but most nonrandomized studies found lower all-cause mortality and other outcomes in moderate drinkers than in abstainers among subjects >50 years. However, potential biases may compromise these latter studies, particularly when effects are null or moderate.",diabetes,"Innovative Vaccines, Antivirals, and Diagnostics Tools"
Imminent Disease Prediction and Prevention at the Environment Host Interface,"IMMEDIATE aims to investigate and explore the diet-microbiome-immunometabolism-axis as a sensor for health-to-disease transition and evaluate strategies to maintain an individuals well-being. Chronic inflammation is the major root of most diseases. Understanding of this process preceding organ dysfunction or damage and identification of biomarkers in the pre-symptomatic stage and risk but also resilience factors of health-to-disease transition will enable targeted and personalized interventions to prevent irreversible organ damage. Metabolites of gut microbiota are key messengers between diet, microbiota and host, maintaining the balance of pro- and anti-inflammation.",nutrition,Precision Medicine and Therapeutics for Gut Microbiome Disorders
Sustainability and HEalth as drivers of the rational design of fermentation processes: a novel prototype of Non-Alcoholic Beer,"Beer is the world’s most consumed alcoholic drink but its alcohol content has a negative impact on health. The consumption of non-alcoholic beer (NAB) has rocketed recently, driven by changes in manufacturing processes and a more health-conscious consumer base. In Europe, the market size is estimated in $22 billion (2022). Despite its potential for diet improvement, the impact of NAB on health has been barely investigated. Moreover, this expanded market is not reusing its by-products properly and generates considerable waste.",public health,Sustainable Food Systems and Nutritional Innovations
Smart Human-centred Effortless support for Professional clinical Applications,"SHERPA will empower interventional radiologists (IR), an overburdened group of specialists who use medical imaging and image-guided devices to perform complex, high-risk interventions. Since trust in technology is rooted in relationships – not in a technical specification or feature, AI-powered assistive technologies will be delivered as a seamless, trusted companion (a ‘sherpa’) across the workflow for two clinical domains (Neurology and Oncology), validated with IR and patients through seven clinical studies, and made available to other medical specialities through a framework methodology and outreach to the entire IR community.",vascular diseases,Multimodal Cancer Imaging and Diagnostics Technologies
The role of birds in sustainable urban subsistence at Teotihuacan Mexico,"Lessons from Mesoamerican cities are well-suited to address many problems with feeding urban populations today, as large cities thrived in this region in the absence of large, domesticated animals. While we know that residents of Teotihuacan consumed a plant-heavy diet, supplemented with wild animals harvested from local ecosystems and some husbandry of small animals, like turkeys, there are still many gaps in our understanding of Teotihuacan’s food production system. AviCulture tests two hypotheses to better our understanding sustainable food production in the city. 1. Residents practiced low-intensity husbandry of turkeys and quails at the household level. 2.",sustainable agriculture,Sustainable Food Systems and Nutritional Innovations
